country,state,lga,shipping_fee
Nigeria,Oyo,Akinyele,1500
Nigeria,Oyo,Afijio,1700
Nigeria,Oyo,Egbeda,2000
Nigeria,Oyo,Ibadan North,2500
Nigeria,Oyo,Ibadan North-East,2300
Nigeria,Oyo,Ibadan North-West,2400
Nigeria,Oyo,Ibadan South-East,2200
Nigeria,Oyo,Ibadan South-West,2100
Nigeria,Oyo,Ibarapa Central,1800
Nigeria,Oyo,Ibarapa East,1900
Nigeria,Oyo,Ibarapa North,2000
Nigeria,Oyo,Ido,1600
Nigeria,Oyo,Irepo,1700
Nigeria,Oyo,Iseyin,1800
Nigeria,Oyo,Itesiwaju,1500
Nigeria,Oyo,Jobele,1400
Nigeria,Oyo,Lagelu,2000
Nigeria,Oyo,Ogbomosho North,2200
Nigeria,Oyo,Ogbomosho South,2000
Nigeria,Oyo,Ogo Oluwa,2100
Nigeria,Oyo,Oluyole,2300
Nigeria,Oyo,Orelope,1900
Nigeria,Oyo,Oyo West,2200
Nigeria,Oyo,Oyo East,2100
Nigeria,Oyo,Saki East,2500
Nigeria,Oyo,Saki West,2400
Nigeria,Oyo,Surulere,1800
Nigeria,Lagos,Agege,1500
Nigeria,Lagos,Alimosho,1700
Nigeria,Lagos,Apapa,2000
Nigeria,Lagos,Badagry,2500
Nigeria,Lagos,Epe,2300
Nigeria,Lagos,Eti-Osa,2400
Nigeria,Lagos,Ibeju-Lekki,2200
Nigeria,Lagos,Ifako-Ijaiye,2100
Nigeria,Lagos,Ikeja,1800
Nigeria,Lagos,Ikorodu,1900
Nigeria,Lagos,Island/Mosque,2000
Nigeria,Lagos,Lagos Mainland,1600
Nigeria,Lagos,Lekki,1700
Nigeria,Lagos,Mushin,1500
Nigeria,Lagos,Ojo,1400
Nigeria,Lagos,Ojodu,2000
Nigeria,Lagos,Oshodi-Isolo,2100
Nigeria,Lagos,Shomolu,2300
Nigeria,Lagos,Surulere,1900
Nigeria,Ogun,Abeokuta North,1500
Nigeria,Ogun,Abeokuta South,1700
Nigeria,Ogun,Ado-Odo/Ota,2000
Nigeria,Ogun,Ewekoro,2500
Nigeria,Ogun,Ifo,2300
Nigeria,Ogun,Ijebu East,2400
Nigeria,Ogun,Ijebu North,2200
Nigeria,Ogun,Ijebu North East,2100
Nigeria,Ogun,Ijebu Ode,1800
Nigeria,Ogun,Ikenne,1900
Nigeria,Ogun,Imeko-Afon,2000
Nigeria,Ogun,Ipokia,1600
Nigeria,Ogun,Obafemi Owode,1700
Nigeria,Ogun,Odeda,1400
Nigeria,Ogun,Odogbolu,2000
Nigeria,Ogun,Ogun Waterside,1900
Nigeria,Ogun,Remo North,2100
Nigeria,Ogun,Shagamu,2300

